symbol,trade_date,open_price,high_price,low_price,close_price,volume
STK008,2023-01-26,373.36,376.1507585705029,371.31009647656987,354.31,777646
STK035,2023-03-31,299.34,301.2139047972318,294.68678213218516,271.31,632262
STK002,2024-07-28,107.43,118.32882961206434,103.02118755918607,110.65,618889
STK018,2023-01-07,381.82,390.27228796307,376.26257316656717,355.83,226772
STK022,2023-04-15,55.45,72.3998873269492,43.375479372662184,50.98,847335
STK003,2024-04-15,272.75,280.3206875441671,261.7091873745355,298.56,870693
STK040,2024-01-06,292.9,293.8164876731132,288.34203448696906,304.88,304445
STK006,2023-08-27,434.58,443.6482060473687,417.89779146718496,424.16,171555
STK024,2023-12-30,112.66,131.39309175424987,99.69929229506812,107.41,639720
STK011,2024-06-30,367.27,374.85910883515294,347.4795329872681,342.55,672088
STK036,2023-08-13,345.46,360.9799982309249,340.8790385607179,369.15,34659
STK021,2024-02-15,141.19,160.0481942867011,123.66264747054662,133.03,330963
STK014,2024-11-02,254.62,267.4770374040085,251.76256819115875,274.21,147413
STK016,2024-07-28,274.1,282.6686765458916,262.4293415010869,287.64,380580
STK015,2023-05-22,259.67,260.61232750849473,257.47701739298685,238.42,658924
STK011,2024-11-27,216.86,224.49238573013076,196.9375723951981,197.93,555816
STK017,2024-07-20,431.78,446.19443638720384,418.14579261946847,389.59,564054
STK018,2024-10-18,176.69,179.8531550868934,176.62509367796542,169.39,758168
STK017,2024-05-27,383.36,385.4882164559541,370.85399612867167,383.95,883554
STK033,2024-09-15,107.47,110.70098071506307,88.40000504692995,104.76,968242
STK034,2023-01-01,303.48,305.7173545064179,296.2203846563813,302.79,873064
STK020,2023-09-03,38.38,57.318988905959884,36.666930958642425,41.28,510597
STK005,2024-06-29,385.26,394.7656475619746,374.26392813010114,356.63,278932
STK034,2024-09-13,217.34,228.12592177558918,202.74137861820049,204.81,211922
STK020,2024-02-13,497.62,506.38200167829007,487.2684831792882,512.54,127882
STK016,2023-08-19,41.37,52.44843044848959,29.601197711792977,37.41,8540
STK005,2024-10-08,38.85,39.478259161060365,32.24143021839003,35.49,540131
STK016,2023-10-13,337.8,340.4462369745005,319.0897151883866,318.49,599782
STK037,2024-04-29,129.07,137.21119922971872,127.18348407016235,128.37,691993
STK028,2023-12-29,217.55,232.13151698919702,204.08270905413397,216.12,678568
STK007,2023-03-04,207.28,224.5134507270558,202.30687332159428,200.62,200448
STK035,2024-04-04,78.69,87.94256136801934,61.2002809185884,73.71,80046
STK029,2024-07-17,57.98,68.7917587620061,57.68484287008699,59.74,98793
STK016,2023-06-20,209.14,226.4330078806043,191.09114268978902,208.36,173634
STK025,2023-01-03,492.8,508.48141203897137,483.69983265321713,469.66,444555
STK036,2024-11-08,362.02,367.9541565098913,342.64581270061683,337.03,608314
STK035,2023-03-04,376.51,388.1935518891794,366.45299234160973,343.16,895141
STK034,2023-06-11,37.87,54.89685090688243,36.49957334592415,37.93,72262
STK016,2024-02-18,68.74,73.66430695577249,56.84961692933117,74.11,650468
STK006,2024-03-05,332.11,338.43739691953454,326.89468608792737,336.44,703258
STK021,2023-09-02,140.15,153.060015776753,131.00550854859097,129.8,975146
STK005,2023-01-10,234.56,254.4819289571019,233.09478557800733,257.94,224508
STK033,2023-09-29,74.9,76.2758262812004,70.01431166983738,72.64,299830
STK011,2024-03-24,418.54,430.773555314519,398.79533872736994,435.58,686743
STK034,2023-01-09,337.25,355.88512078872157,335.17826996163575,340.93,921782
STK009,2023-09-28,66.56,77.62447281769632,61.11303575370368,61.33,635210
STK014,2023-12-18,109.76,115.0396780326082,99.98936295701247,112.71,950314
STK004,2023-04-05,320.8,321.681735235981,314.12886922789824,341.93,138174
STK017,2023-06-15,373.2,381.7537383796136,373.00660600783317,377.06,79898
STK010,2024-07-12,27.65,38.70050193489995,19.054265742384565,26.93,44860
STK020,2024-01-09,450.5,467.71405164001806,432.52150726947053,477.18,221281
STK016,2024-11-13,60.37,78.05269402902017,52.24245220335766,63.75,651810
STK010,2023-08-31,433.66,449.87543439880795,416.03167590673354,474.96,26990
STK012,2023-12-07,393.37,406.76814258576394,378.66884922344246,386.42,261222
STK018,2023-06-13,395.81,413.2533356581218,378.63813497324435,364.79,234238
STK013,2024-04-16,181.33,198.75646071726018,176.87152905588383,192.95,693094
STK013,2024-02-13,170.85,190.18778208096722,165.26750014556256,183.3,673642
STK033,2024-02-14,342.96,349.58299736428813,342.4079892976073,366.53,920641
STK017,2023-07-02,294.49,295.2551439470653,282.5585749002451,322.97,363479
STK021,2024-03-22,307.04,314.7439086668946,295.50823913006803,307.74,268095
STK003,2024-03-22,10.83,21.599039941855835,-3.5585999828969097,11.75,778991
STK013,2024-01-08,221.34,239.7554171243608,208.87689180107182,241.21,696612
STK008,2023-11-04,258.49,265.013658097148,244.54583171611202,267.12,582343
STK009,2023-07-16,216.02,229.56635890545468,197.96388908534834,235.05,646414
STK037,2023-11-05,208.98,215.05749898536706,204.77634630234715,222.93,824927
STK038,2024-09-13,330.81,339.65319598609614,326.535971980218,328.49,497171
STK011,2024-11-05,51.55,64.20881711531591,44.84623489180398,51.71,859179
STK016,2024-11-19,162.11,165.05707924491546,161.18572563814485,172.05,499216
STK040,2023-03-16,233.15,244.66341798818638,218.78308169002023,251.16,403630
STK032,2024-02-14,129.55,129.66089636276064,114.53071046763056,133.59,808451
STK007,2024-03-11,117.23,131.14823552816478,107.93900230851496,124.36,585482
STK016,2023-05-05,233.67,247.02155465172706,213.91215093867103,247.76,625377
STK021,2024-03-29,310.2,320.295563296488,293.5886166055717,323.8,575485
STK029,2023-06-12,374.39,379.5738309693004,369.4452052498068,372.49,669636
STK018,2024-06-17,247.45,256.24745186529805,233.17910274777887,234.55,246884
STK018,2023-12-10,166.66,169.4274812303231,162.03477040543626,168.0,728659
STK010,2023-08-08,41.47,52.3222228100783,33.154515317936884,40.7,217881
STK027,2024-02-03,453.37,467.2804597299594,436.2353593539213,460.99,803784
STK037,2024-01-25,243.72,249.69225304744768,235.92026703872563,265.3,935953
STK027,2024-07-05,376.28,388.3450517788248,371.8692261135236,379.75,231080
STK018,2024-03-22,247.96,261.33747241245834,231.99715351159622,242.45,760359
STK011,2024-04-23,460.58,471.2624725906501,442.44142274826464,504.86,621644
STK037,2024-11-09,23.28,25.993989744611287,14.046031118969767,23.94,53727
STK017,2024-01-24,170.4,177.15001096147742,152.8072002799621,168.86,292773
STK027,2023-09-16,419.11,434.09048522165705,418.0682878351349,416.62,999160
STK023,2023-08-18,328.57,341.60509310487777,313.4853359188095,347.05,996740
STK016,2023-07-24,421.22,425.99089883777816,411.7487787810775,431.44,120946
STK037,2023-08-12,237.87,245.24790348645882,225.75214614879377,226.27,785256
STK008,2023-06-17,482.71,483.2235685099493,476.47085511210605,444.88,711250
STK025,2024-02-11,471.32,483.161957224997,454.70856732439364,442.88,255646
STK007,2023-11-05,426.64,429.0611013013463,406.9631129697066,435.21,821652
STK003,2023-12-22,271.05,272.42913473039283,258.0991349188639,279.81,14266
STK027,2024-05-16,61.71,74.42170212202892,45.135853779950835,67.4,742666
STK010,2024-03-21,96.31,109.31914828033483,83.99175291892898,96.73,965289
STK035,2024-05-10,237.79,249.63949238127404,231.34390834037762,253.28,258420
STK006,2023-10-13,442.0,451.29416933206466,429.7933659153896,419.36,398399
STK022,2023-01-30,252.21,261.9609986478269,245.1135006764781,243.38,271902
STK022,2023-10-14,441.36,446.8853715151237,441.1569777112265,459.12,995115
STK013,2023-03-29,128.26,139.3635242316372,123.45352127751568,125.86,500219
STK032,2024-04-03,398.54,402.9719280094506,384.704256894096,366.1,322080
STK038,2024-01-13,241.9,250.4100762541043,226.9812912657278,243.4,347859
STK023,2024-04-09,142.75,145.1631176950461,138.89831413096965,135.65,126362
STK035,2023-07-09,103.86,109.38999253937378,92.06826188078418,108.82,798135
STK034,2024-09-03,148.67,152.55235156182147,144.1203367303489,136.79,189158
STK020,2023-01-15,356.93,357.8403140196644,355.83947959522027,330.27,307327
STK009,2024-10-15,435.55,453.0043946999707,424.0687156074734,434.76,493198
STK031,2024-03-27,176.95,181.99956780985943,159.71554070744972,193.42,120629
STK005,2024-02-15,250.96,264.6890203651203,247.92545986098088,254.83,851544
STK037,2023-11-08,51.74,62.90146069235257,43.41651957179343,49.13,626084
STK040,2023-08-20,390.09,408.2600875524761,384.14293734965224,380.76,618113
STK028,2023-11-09,288.63,307.832175548686,286.6453285045042,263.24,800787
STK014,2024-10-02,113.4,116.54114186761755,109.92372903347132,117.04,79711
,2023-01-03,210.17,219.5682495801537,209.5172028923815,218.13,303099
STK019,2024-04-09,44.88,50.171092513177996,29.055045099100774,42.49,619439
STK013,2024-03-11,66.24,69.21978802150657,60.92735056718719,62.59,150145
STK005,2023-03-03,91.3,106.27915444139246,79.91585901361815,87.79,303630
STK029,2023-05-08,239.66,247.7101703832561,234.21507613711472,230.27,567211
STK032,2024-03-24,49.42,58.060573283215454,42.973568332834006,44.87,263529
STK002,2023-04-04,122.17,139.38033745634542,110.42754136580433,126.43,22753
STK018,2024-08-13,29.71,39.12001646503267,16.679810211326274,31.23,961571
STK018,2023-07-05,498.5,514.7848988908121,479.11889527868595,492.11,493841
STK023,2024-02-23,173.32,190.47466188800703,166.72392672842068,179.22,728369
STK032,2023-10-23,334.67,349.87999544115314,333.93605739372583,328.01,93337
STK021,2023-09-16,168.4,176.4835011400149,158.1080749534179,184.24,2206
STK035,2024-04-18,212.49,219.72558718303353,197.36113691888855,199.21,656788
STK029,2023-02-22,109.74,128.29345521688896,100.97767809855243,110.82,733168
STK032,2023-05-05,24.15,40.13627466548941,9.954343497994817,24.78,326845
STK036,2023-01-15,280.6,300.4451427879044,262.34140243031663,257.77,484863
,2024-10-25,417.75,432.08206651983585,407.5725596986098,417.61,287706
STK027,2024-05-09,490.32,501.3453015376094,482.648279735057,465.19,967648
,2024-06-04,375.68,377.0762015921246,360.2264973464599,348.37,896916
STK027,2023-12-15,467.78,484.19098946371156,462.12322033434344,468.5,314058
STK038,2024-08-16,499.46,502.43190836765575,488.6883884459225,498.43,362888
STK022,2024-07-19,383.81,402.4670451143052,366.4179663353186,374.38,732380
STK016,2024-08-08,197.66,205.87550191099155,191.296473455324,211.73,496951
STK025,2024-01-31,494.32,507.3603800280121,491.27789359579555,523.23,39817
STK009,2024-05-29,483.02,485.02729204329705,466.11921153779235,466.79,105555
STK034,2024-04-12,17.52,34.93865942698439,-1.8791358808221261,16.27,79463
STK031,2023-09-29,175.9,188.89673305158544,158.86469415298617,182.68,894744
STK035,2024-01-25,477.53,495.2787736581864,467.7710502921964,489.64,568296
STK003,2024-09-24,43.53,61.94858197560593,23.581481540875693,44.67,784041
STK006,2024-03-20,489.39,503.46781658658074,487.3798551935436,514.87,175446
STK020,2023-01-30,32.54,38.407355519304176,25.043178204493703,34.47,153640
STK016,2024-06-27,211.91,215.51113772302622,208.4086128987419,219.62,640098
STK025,2024-09-26,344.74,356.40314261304104,340.09623111409695,344.58,669891
STK017,2024-04-15,135.11,151.20266153950294,117.08581152802236,121.85,711526
STK035,2023-06-11,46.19,65.94303390436943,40.20691501752455,50.3,445920
STK017,2024-04-12,424.2,431.8938649793469,414.5358387788157,398.68,249728
